Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
KABOBEESH RESTAURANT,4201 CHESTNUT ST,PHILADELPHIA,PA,19104,3014,101,215,2,C,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,10,467,9,,,,,573607991,,,,,,,,,9,008700,1,039.956248,-075.206294,0,37980,2,428,42101,2014
MARIE'S HAIR BRAIDING,4015 LANCASTER AVE,PHILADELPHIA,PA,19104,1711,101,215,2,A,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,07204,1,48,9,,,,,573610664,,,,,,,,,9,010700,4,039.963630,-075.202700,P,37980,2,428,42101,2014
POD,3636 SANSOM ST,PHILADELPHIA,PA,19104,3212,101,215,2,E,D,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,70,3274,9,,,,,573612595,,,,,,,,,9,008900,3,039.953897,-075.195471,0,37980,2,428,42101,2014
GATE TO HEAVEN MINISTRY INC,3415 HAVERFORD AVE,PHILADELPHIA,PA,19104,1908,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,2,,9,F,,,,573613072,,,,,,,,,9,010900,4,039.964160,-075.191820,P,37980,2,428,42101,2014
ALPHA CHI RHO,219 S 36TH ST,PHILADELPHIA,PA,19104,3871,101,215,2,B,,864107,FRATERNITIES & SORORITIES,81341006,CIVIL & SOCIAL ORGANIZATIONS,,,,,,,,,,,34400,5,,9,,,,,573622016,,,,,,,,,9,008900,2,039.952440,-075.194550,P,37980,2,428,42101,2014
BAPTIST CHILDREN'S SVC,3700 SPRING GARDEN ST,PHILADELPHIA,PA,19104,2354,101,215,2,B,,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,62419012,OTHER INDIVIDUAL & FAMILY SERVICES,,,,,,,,,,,79000,8,,9,,,,,573622040,,,,,,,,,9,009100,1,039.962240,-075.195850,P,37980,2,428,42101,2014
AAABA ACQUISITION CORP,3237 POWELTON AVE,PHILADELPHIA,PA,19104,2722,101,215,2,B,C,653108,REAL ESTATE MANAGEMENT,53121005,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70706,5,1043,9,,,,,573636776,,,,,,,,,9,009000,2,039.960630,-075.189280,P,37980,2,428,42101,2014
COUNCIL FOR RELATIONSHIPS,4025 CHESTNUT ST # 1,PHILADELPHIA,PA,19104,3098,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),596104,E-COMMERCE,,,,,,,,,,3,526,9,X,,,,573637030,,,,,,,120734322,,9,008800,6,039.955797,-075.202787,0,37980,2,428,42101,2014
UNIVERSITY CITY ASSOC INC,4039 CHESTNUT ST,PHILADELPHIA,PA,19104,3056,101,215,2,C,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,,,,,,,,,,,74408,17,,9,,,,,573637204,,,,,,,,,9,008800,6,039.956260,-075.204200,P,37980,2,428,42101,2014
COUNCIL FOR RELATIONSHIPS,4025 CHESTNUT ST # 1,PHILADELPHIA,PA,19104,3098,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),809901,PHYSICIANS & SURGEONS INFORMATION BUREAU,596104,E-COMMERCE,,,,,,,,3,526,9,X,,,,573637238,,,,,,,120734322,,9,008800,6,039.955797,-075.202787,0,37980,2,428,42101,2014
CVS/PHARMACY,4314 LOCUST ST,PHILADELPHIA,PA,19104,5232,101,215,2,D,E,591205,PHARMACIES,44611009,PHARMACIES & DRUG STORES,738401,PHOTO FINISHING-RETAIL,594710,GREETING CARDS-RETAIL,549904,VITAMIN & FOOD SUPPLEMENTS,599992,COSMETICS & PERFUMES-RETAIL,533101,VARIETY STORES,60702,20,5702,2,K,,,,573637253,441376274,400624805,3000,,I,,,,9,008700,5,039.953658,-075.209220,0,37980,2,428,42101,2014
GATEWAY BLDG,3535 MARKET ST # 3535,PHILADELPHIA,PA,19104,3313,101,215,2,A,C,651202,OFFICE BUILDINGS & PARKS,53112004,LESSORS-NONRESIDENTIAL BLDGS (EXC MINIWAREHOUSES),,,,,,,,,,,,4,2212,9,,,,,573637733,,,,,,,,,9,009000,4,039.956088,-075.193154,4,37980,2,428,42101,2014
STARBUCKS,138 S 34TH ST,PHILADELPHIA,PA,19104,3401,101,215,2,C,B,581228,COFFEE SHOPS,72251505,SNACK & NONALCOHOLIC BEVERAGE BARS,581208,RESTAURANTS,,,,,,,,,,16,748,2,4,,,,573637873,,303651459,2000,,I,,,,9,008900,3,039.953676,-075.192056,0,37980,2,428,42101,2014
TEXAS WIENER,3963 LANCASTER AVE,PHILADELPHIA,PA,19104,4636,101,215,2,B,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,7,327,9,,,,,573637881,,,,,,,,,9,010800,4,039.963170,-075.202040,P,37980,2,428,42101,2014
,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,C,,,,573666450,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
,51 N 39TH ST # 4,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,62306,3,526,9,C,,,,573670965,,,,,,,611643933,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
UNIVERSITY-PENNSYLVIANIA MED,3400 SPRUCE ST # 5,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),806202,HOSPITALS,,,,,,,,,,3,526,9,S,,,,573671211,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
UNIVERSITY OF PENNSYLVANIA,3400 SPRUCE ST # 2DONNER,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,2,,,,573671278,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
RENAL HYPERTENSION,3400 CIVIC CENTER BLVD # W,PHILADELPHIA,PA,19104,5127,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,L,,,,573671286,,,,,,,496944398,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2014
,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573671427,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
COMMISSION ON HIGHER EDUCATION,3624 MARKET ST # 2,PHILADELPHIA,PA,19104,5803,101,215,2,E,,861102,ASSOCIATIONS,81391002,BUSINESS ASSOCIATIONS,,,,,,,,,,,,50,,9,,,,,573671583,,,,,,,,,9,008900,3,039.955930,-075.195380,P,37980,2,428,42101,2014
UNIVERSITY OF PA HOSPITAL,3400 SPRUCE ST # 584,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573671625,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
,51 N 39TH ST # 4,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,62306,3,526,9,C,,,,573671740,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
UNIVERSITY OF PA,51 N 39TH ST # W542,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,Q,,,,573671880,,,,,,,,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
UNIVERSITY PA MEDICAL CTR,3615 CHESTNUT ST # 121,PHILADELPHIA,PA,19104,2612,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573671898,,,,,,,402155232,N,9,008900,3,039.954809,-075.194771,0,37980,2,428,42101,2014
,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573672201,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
JOHN RHEABARTON SURGICAL ASSOC,51 N 39TH ST # 2A,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573672243,,,,,,,250919297,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
PENN RADIATION ONCOLOGY,3400 CIVIC CTR BLVD # C-300A,PHILADELPHIA,PA,19104,5143,101,215,2,F,F,809907,HEALTH SERVICES,62199921,ALL OTHER MISC AMBULATORY HEALTH CARE SERVICES,806202,HOSPITALS,,,,,,,,,,100,13866,9,,,,,573672250,,,,,,,,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2014
,3400 SPRUCE ST,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,K,,,,573672276,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
,3620 HAMILTON WALK # 180H,PHILADELPHIA,PA,19104,4799,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573672524,,,,,,,,,9,007600,1,039.949709,-075.195821,0,37980,2,428,42101,2014
UNIVERSITY OF PA MEDICAL CTR,3400 SPRUCE ST # 5,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,S,,,,573672623,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
,4094 LANCASTER AVE,PHILADELPHIA,PA,19104,1746,101,215,1,A,B,531104,RETAIL SHOPS,45211201,DISCOUNT DEPARTMENT STORES,,,,,,,,,,,,3,651,9,,,,,573672870,,,,,,,,,9,010600,2,039.964740,-075.205390,P,37980,2,428,42101,2014
PENN PAIN MEDICINE,3400 SPRUCE ST # DULLES680,PHILADELPHIA,PA,19104,4238,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,8,,,,573673068,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
NEUROLOGY ASSOCIATES,3400 SPRUCE ST # 2,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,M,,,,573673100,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
PENN PRESBYTERIAN MEDICAL CTR,51 N 39TH ST # 4,PHILADELPHIA,PA,19104,2692,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,C,,,,573673126,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
UNIVERSITY OF PA MEDICAL CTR,3400 SPRUCE ST # 2,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),806202,HOSPITALS,,,,,,,,,,3,526,9,M,,,,573673142,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
UNIVERSITY OF PA MEDICAL CTR,3400 SPRUCE ST # 6,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573673159,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
,3400 SPRUCE ST # 5,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,S,,,,573673274,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
UNIVERSITY OF PA MEDICAL CTR,3400 SPRUCE ST # 10,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573673555,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
PHILA CONSTRUCTION CO,3622 PEARL ST,PHILADELPHIA,PA,19104,2337,101,215,2,A,A,655202,REAL ESTATE DEVELOPERS,23721005,LAND SUBDIVISION,,,,,,,,,,,,1,444,9,,,,,573673605,,,,,,,,,9,009100,2,039.960300,-075.194830,P,37980,2,428,42101,2014
PENN UROLOGY,3400 SPRUCE ST # 9,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,5,,,,573673902,,,,,,,,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
CENTER FOR STUDY OF ORTHOPEDIC,3400 SPRUCE ST # 2,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,R,,,,573674348,,,,,,,651229197,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
PRESBYTERIAN MEDICAL CTR,51 N 39TH ST # I,PHILADELPHIA,PA,19104,2692,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,Y,,,,573674405,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
,51 N 39TH ST # 400,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,C,,,,573674579,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
PENN CARDIOLOGY,51 N 39TH ST,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,62306,3,526,9,C,,,,573674686,,,,,,,611643933,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
,51 N 39TH ST # 4,PHILADELPHIA,PA,19104,2640,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,C,,,,573674751,,,,,,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
UNIVERSITY OF PA MEDICAL CTR,3400 SPRUCE ST # 6,PHILADELPHIA,PA,19104,4274,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,,,,,573674868,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
BRENTWOOD,4130 PARKSIDE AVE,PHILADELPHIA,PA,19104,5322,101,215,2,A,B,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,,4,968,9,,,,,573703493,,,,,,,,,9,011000,3,039.975630,-075.208400,P,37980,2,428,42101,2014
BRANTWOOD II,4142 PARKSIDE AVE,PHILADELPHIA,PA,19104,5321,101,215,2,A,B,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,02906,4,968,9,,,,,573704616,,,,,,,,,9,011000,3,039.975800,-075.208880,P,37980,2,428,42101,2014
HYPERBARIC MEDICINE,3620 HAMILTON WALK,PHILADELPHIA,PA,19104,4799,101,215,2,C,C,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),516920,OXYGEN (WHLS),,,,,,,,,,10,1754,9,K,,,,573706322,,,,,,,573706322,,9,007600,1,039.949709,-075.195821,0,37980,2,428,42101,2014
S S HUEBNER FOUNDATION FOR INS,3733 SPRUCE ST # 3000,PHILADELPHIA,PA,19104,4108,101,215,2,A,A,641112,INSURANCE,52421001,INSURANCE AGENCIES & BROKERAGES,,,,,,,,,,,,1,186,9,,,,,573706330,,,,,,,,,9,008800,2,039.951189,-075.197815,0,37980,2,428,42101,2014
PENNSYLVANIA GAZETTE,3910 CHESTNUT ST # 3,PHILADELPHIA,PA,19104,3111,101,215,2,D,F,272198,PERIODICALS-PUBLISHING & PRINTING (MFRS),51112003,PERIODICAL PUBLISHERS,596104,E-COMMERCE,,,,,,,,,,30,11760,9,,,,,573706439,,,,,,,,,9,008800,6,039.955050,-075.200970,P,37980,2,428,42101,2014
RESOURCES FOR WOMEN,3601 LOCUST WALK,PHILADELPHIA,PA,19104,6224,101,215,2,B,C,874212,ENERGY CONSERVATION & MGMT CONSULTANTS,54161203,HUMAN RESOURCES CONSULTING SERVICES,,,,,,,,,,,,6,1285,9,,,,,573706454,,,,,,,,,9,008900,2,039.952108,-075.195026,0,37980,2,428,42101,2014
,3620 HAMILTON WALK,PHILADELPHIA,PA,19104,4799,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,4,,,,573706488,,,,,,,,,9,007600,1,039.949709,-075.195821,0,37980,2,428,42101,2014
LUBERT-ADLER MANAGEMENT,2929 ARCH ST # 1650,PHILADELPHIA,PA,19104,2868,101,215,2,E,F,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,628203,FINANCIAL ADVISORY SERVICES,,,,,,,,,,50,10435,9,,,,,573716958,,,,,,,573716958,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2014
CHILDRENS SURGICAL ASSOC,324 S 34TH ST # 3,PHILADELPHIA,PA,19104,4344,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,5,,,,577386246,,,,,,,470083205,,9,008900,2,039.950702,-075.192660,0,37980,2,428,42101,2014
SCA PERSONAL CARE NORTH AMRC,2929 ARCH ST # 2600,PHILADELPHIA,PA,19104,2863,101,610,2,F,,384104,PHYSICIANS & SURGEONS EQUIP & SUPLS-MFRS,33911203,SURGICAL & MEDICAL INSTRUMENT MANUFACTURING,511308,PACKAGING MATERIALS-WHOLESALE,,,,,,,,,,133,,3,,,,,577633431,577633431,566711370,13,,C,,566711370,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2014
LANCASTER AVENUE SUPL HSE INC,3908 LANCASTER AVE,PHILADELPHIA,PA,19104,4606,101,215,2,A,B,539901,GENERAL MERCHANDISE-RETAIL,45299006,ALL OTHER GENERAL MERCHANDISE STORES,521110,PLUMBING FIXTURES & SUPPLIES-NEW-RETAIL,507420,BOILERS-NEW & USED (WHLS),,,,,,,,3,734,9,,,,,577704570,,,,,,,,,9,010800,4,039.962040,-075.200770,P,37980,2,428,42101,2014
ALPHA WIRELESS,4042 LANCASTER AVE,PHILADELPHIA,PA,19104,1712,101,215,2,A,A,599902,CELLULAR TELEPHONES-EQUIPMENT & SUPLS,44314204,ELECTRONIC STORES,,,,,,,,,,,14236,1,222,9,,,,,577704596,,,,,,,,,9,010600,3,039.963800,-075.203880,P,37980,2,428,42101,2014
CHILD HEALTH CARE ASSOC,324 S 34TH ST # 4,PHILADELPHIA,PA,19104,5401,101,215,2,C,C,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,10,1754,9,T,,,,581304284,,,,,,,470083205,,9,008900,2,039.950702,-075.192660,0,37980,2,428,42101,2014
PENN UROLOGY,3400 CIVIC CENTER BLVD # 3,PHILADELPHIA,PA,19104,5127,101,215,2,D,E,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,45,7895,9,5,,,,581304649,,,,,,,581304649,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2014
PICNIC INC,3131 WALNUT ST # B,PHILADELPHIA,PA,19104,3431,101,215,2,B,A,581212,CATERERS,72232001,CATERERS,594713,GIFT BASKETS & PARCELS,581208,RESTAURANTS,,,,,,,,7,327,9,,,,,582237483,,,,,,,,,9,008900,2,039.952237,-075.186519,0,37980,2,428,42101,2014
MOREWOOD MOLECULAR SCIENCES,3624 MARKET ST # 5,PHILADELPHIA,PA,19104,2614,101,610,2,A,,873104,LABORATORIES,54171126,RESEARCH & DEVELOPMENT IN BIOTECHNOLOGY,,,,,,,,,,,,4,,9,,,,,582237681,,,,,,,,,9,008900,3,039.955930,-075.195380,P,37980,2,428,42101,2014
SOFIA NEGRON-PHOTOGRAPHER,816 N 45TH ST,PHILADELPHIA,PA,19104,,101,215,2,A,A,722121,PHOTOGRAPHY,54192121,"PHOTOGRAPHY STUDIOS, PORTRAIT",,,,,,,,,,,,2,151,9,,,,,584485163,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
BEST DEAL DISCOUNT STORE,4005 MARKET ST,PHILADELPHIA,PA,19104,3002,101,215,2,A,A,531104,RETAIL SHOPS,45211201,DISCOUNT DEPARTMENT STORES,531102,DEPARTMENT STORES,,,,,,,,,24904,2,434,9,,,,,598746733,,,,,,,,,9,009200,4,039.957480,-075.202180,P,37980,2,428,42101,2014
CHURCH OF THE LIVING GOD,ASPEN ST,PHILADELPHIA,PA,19104,,101,215,2,C,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,10,,9,2,,,,598746782,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
EAZY CORNER INC,537 N 35TH ST,PHILADELPHIA,PA,19104,2459,101,215,2,A,A,581301,BARS,72241001,DRINKING PLACES ALCOHOLIC BEVERAGES,581208,RESTAURANTS,,,,,,,,,84100,4,211,9,,,,,598746832,,,,,,,,,9,010900,4,039.963800,-075.192850,P,37980,2,428,42101,2014
OFF THE CUFF,3549 CHESTNUT ST,PHILADELPHIA,PA,19104,3361,101,215,2,A,A,721201,CLEANERS,81232002,DRYCLEANING & LAUNDRY SVCS (EXCEPT COIN-OPERATED),,,,,,,,,,,18306,1,54,9,,,,,598746980,,,,,,,,,9,008900,3,039.954702,-075.193887,0,37980,2,428,42101,2014
PARI CAFE' CREPERIE,3417 SPRUCE ST,PHILADELPHIA,PA,19104,4298,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,3,140,9,,,,,598746998,,,,,,,,,9,008900,2,039.950588,-075.192949,0,37980,2,428,42101,2014
PARK AMERICA,3101 MARKET ST,PHILADELPHIA,PA,19104,2806,101,215,2,A,A,752102,PARKING STATIONS & GARAGES,81293004,PARKING LOTS & GARAGES,,,,,,,,,,,59406,2,150,2,6,,,,598747004,,811694033,8,,B,,,,9,012400,1,039.955540,-075.186080,P,37980,2,428,42101,2014
CHINA INN,4423 LOCUST ST,PHILADELPHIA,PA,19104,2948,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,3,140,9,,,,,598747012,,,,,,,,,9,008700,5,039.954090,-075.211118,0,37980,2,428,42101,2014
RX RESTAURANT,4443 SPRUCE ST,PHILADELPHIA,PA,19104,4703,101,215,2,C,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,10,467,9,,,,,598747053,,,,,,,,,9,008700,5,039.953120,-075.211980,P,37980,2,428,42101,2014
SPRING CHINESE RESTAURANT,3739 LANCASTER AVE,PHILADELPHIA,PA,19104,2334,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,2,93,9,,,,,598747087,,,,,,,,,9,009100,2,039.960350,-075.196550,P,37980,2,428,42101,2014
UNIQUE ADVANTAGE LLC,3624 MARKET ST # 1SD,PHILADELPHIA,PA,19104,2615,101,215,2,B,C,874201,BUSINESS MANAGEMENT CONSULTANTS,54161401,"PROCESS, PHYSICAL DISTR/LOGISTICS CONSULTING SVCS",999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,,21012,5,1071,9,,,,,598747111,,,,,,,,,9,008900,3,039.955930,-075.195380,P,37980,2,428,42101,2014
,3701 MARKET ST # 6,PHILADELPHIA,PA,19104,5508,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,K,,,,598751550,,,,,,,367197894,,9,009100,3,039.956570,-075.196090,P,37980,2,428,42101,2014
